,Mean,Median,Min,Max,Variance,Standard Deviation
Special_Filling_temp,95.19562959848643,95.73,25.24,103.93,24.318151001650904,4.931343731849455
Special_Filling_Flow,170.41155658392933,187.755,0.0,515.71,3661.7607409658726,60.51248417447323
First_Agglo_Tank_Temp_T42,76.83422680412372,80.95,20.88,197.56,209.48952910752348,14.473753110631792
Tank_47_Temp,74.45007716701903,78.18,24.9,125.4,131.79576251650997,11.48023355670563
PPT-48_Temperature,56.03005571909168,55.89,38.86,78.16,3.880049024336966,1.9697840044880468
Fine_Seed_Tonnage,53.62687204289769,52.6,-2.9,115.0,418.456074788988,20.45619893306154
Fine_Seed_Flow,116.63789567777894,116.89,0.05,503.0,1020.4350555313961,31.94424917776901
Fine_Seed_Density,1.4680834735071486,1.48,0.99,1.71,0.006205232017877757,0.07877329508074267
Fine_Seed_SSA,0.1150025483304042,0.099,0.012,0.5,0.0034038761852329307,0.05834274749472235
Fine_Seed_3_5u,1.3089191564147626,1.2,0.0,3.9,0.27144834702057175,0.5210070508357557
Fine_Seed_45u,43.47050087873462,42.4,0.0,87.2,298.5594552458216,17.27887308958028
Fine_Seed_D50,48.823082425068115,49.1,24.5,105.0,100.81916205523284,10.040874566253322
PHE_Inlet_Temp,72.42575677948287,74.0,3.75,97.03,75.15683389059052,8.669304118012617
PHE_Outlet_Temp,65.56335015242298,63.19,26.1,98.82,157.20617328959653,12.538188596826757
Regular_Filling_Flow,160.37763753024086,150.31,0.0,501.0,9101.560805127176,95.40210063267567
Tank__52_Temp,67.61295026811061,67.62,25.17,81.66,51.665883030018584,7.187898373656836
Tank__56_Temp,66.37641400336418,66.47,19.53,77.34,14.479089494443777,3.805139878433351
Coarse_Seed_1_Tonnage,118.25214105528696,120.6,-2.1,257.69,1075.1612300311892,32.78965126425088
Coarse_Seed_2_Tonnage,140.17195668173693,142.03,-2.9,278.54,1277.6346734685756,35.7440159113183
Coarse_Seed_2_Flow,202.2022557577032,199.85,0.23,610.0,2446.8041820271346,49.46518151212158
Coarse_Seed_1_Density,1.5494690916736753,1.56,0.99,1.74,0.009791170109657455,0.09895034163486983
Coarse_Seed_2_Density,1.5812405382674515,1.59,0.99,1.86,0.008917838465823159,0.09443430767376419
HAT_3_5u,0.7132311072056239,0.7,0.0,7.0,0.15611677064098942,0.3951161482918528
HAT_45u,15.429657293497364,14.75,0.0,50.6,73.2893783345158,8.560921582079573
HAT_D50,76.23098154657292,75.4,7.12,120.6,138.76880305418862,11.780017107550762
Filling_Concentration,235.96168256721597,235.2,176.6,2419.0,2102.9007775581954,45.85739610529795
Filling_Ratio,0.6637391220639199,0.664,0.066,0.703,0.00044474094961413955,0.02108888213287133
Feed_Hydrate_D50,95.53841652323578,94.2,69.7,121.4,84.71025554384389,9.203817444074165
Feed_Hydrate_SSA,0.05175249569707402,0.047,0.007,0.7,0.001440633951561136,0.0379556840481256
Feed_Hydrate_200,77.41874868780181,77.0,48.0,92.0,47.444473646651815,6.887994893047745
Feed_Hydrate_100,3.871404576947302,3.0,1.0,11.0,4.51552237341317,2.1249758524306035
Feed_Hydrate_325,96.30086080201554,96.0,92.0,99.0,3.690680623771493,1.9211144223526857
